,importance
koi_fpflag_ss,0.1326744658187757
koi_fpflag_nt,0.11451397589618113
koi_prad,0.10106899206060642
koi_dicco_msky,0.10104935063738181
koi_fpflag_co,0.0954629634092128
koi_fwm_stat_sig,0.06490381821214584
koi_model_snr,0.049046945413304
koi_fpflag_ec,0.040128587665305214
koi_count,0.040001684679492416
koi_max_mult_ev,0.035738128946961684
koi_incl,0.035136292610230775
koi_depth,0.030881729663892826
koi_dor,0.030513732961423873
koi_teq,0.01405134003845951
koi_fwm_sdeco,0.011436436469970751
koi_insol,0.00965286890901901
koi_dicco_mra,0.00854538208367159
koi_num_transits,0.008300845321654914
koi_fwm_srao,0.007682510280568751
koi_dicco_mdec,0.007212044136159581
koi_bin_oedp_sig,0.007197322290350138
koi_duration,0.0054925182754966845
koi_fwm_prao,0.00527744923766805
koi_fwm_pdeco,0.004909178170211968
koi_srad,0.004852684982601711
koi_srho,0.004594832862832603
koi_time0,0.0045860648084072204
koi_ldm_coeff1,0.003179302087158232
koi_smet,0.003022914268806167
koi_slogg,0.0029746393563806575
koi_impact,0.002820995673296215
koi_steff,0.0025056218440206272
koi_smass,0.0024031312302233506
ra,0.002148258803652038
koi_tce_plnt_num,0.0020723318217432526
dec,0.0020507337876237144
koi_gmag,0.0019099252851089287
